implementation,platform,object,n1,n2,dtype,mean_total_s,std_total_s,mean_kernel_s,mean_transfer_s,mean_peak_mem_mb,n_runs
Numba CUDA,Kaggle,vase,1250,5000,float32,1.22070724410014,0.01961550423081677,0.06908988589993893,1.1486909133001517,2292.8,10
Numba CUDA,Kaggle,vase,1250,5000,float64,1.2084695715001543,0.020663574054871736,0.06520424500004081,1.1404201304001618,2294.0,10
PyTorch CPU,Colab,banana,300,1200,float32,0.3300161154995294,0.0074192935628737845,0.25583910229906903,3.516004653647542e-07,,10
PyTorch CPU,Colab,banana,300,1200,float64,0.6778519779993075,0.07229559229728037,0.5022794979002356,4.644993168767542e-07,,10
PyTorch CPU,Colab,banana,625,2500,float32,1.4794815915010986,0.1578729846092155,1.1357742050000526,4.3220134102739396e-07,,10
PyTorch CPU,Colab,banana,625,2500,float64,2.9365043711004546,0.1606532980965025,2.288873523500297,3.6190031096339224e-07,,10
PyTorch CPU,Colab,banana,1250,5000,float32,6.078169612398415,0.3682127372435838,4.920463135100363,3.6569981602951885e-07,,10
PyTorch CPU,Colab,banana,1250,5000,float64,11.364761110300241,0.15711032595673688,9.05526211420074,3.3209907996933906e-07,,10
PyTorch CPU,Colab,apple,300,1200,float32,0.4479586417986866,0.06231579605041787,0.332363271000213,3.7709942262154074e-07,,10
PyTorch CPU,Colab,apple,300,1200,float64,0.8234254687999055,0.07754918777038194,0.6075201932999335,4.206005542073399e-07,,10
PyTorch CPU,Colab,apple,625,2500,float32,1.8539754181008903,0.23146873750541422,1.4322702728997683,3.8960060919635e-07,,10
PyTorch CPU,Colab,apple,625,2500,float64,3.563356017800834,0.2330903257172977,2.7761463240000013,3.4280092222616074e-07,,10
PyTorch CPU,Colab,apple,1250,5000,float32,7.390192373899117,0.3082402574033092,5.880450941999152,3.854998794849962e-07,,10
PyTorch CPU,Colab,apple,1250,5000,float64,14.829801586301619,2.1640220546935787,11.380848305100153,3.5620068956632166e-07,,10
PyTorch CPU,Colab,vase,300,1200,float32,0.4489792471991677,0.04921250537334653,0.33070711529981056,4.371991963125765e-07,,10
PyTorch CPU,Colab,vase,300,1200,float64,0.8245016750002833,0.0815943032068031,0.6128060129994992,4.059002094436437e-07,,10
PyTorch CPU,Colab,vase,625,2500,float32,1.8027171917980014,0.13198269998263634,1.396627947199886,3.720997483469546e-07,,10
PyTorch CPU,Colab,vase,625,2500,float64,3.601962348199959,0.21367889420168565,2.798950802599575,3.644992830231786e-07,,10
PyTorch CPU,Colab,vase,1250,5000,float32,7.518568102598874,0.3312483178890659,6.010943730099461,3.482004103716463e-07,,10
PyTorch CPU,Colab,vase,1250,5000,float64,13.994526120898445,0.17295467451317043,11.060252780599694,3.67099346476607e-07,,10
PyTorch CPU,Kaggle,banana,300,1200,float32,0.2044763350998892,0.009282579935965101,0.14013217889992116,2.6700004127633294e-07,432.1875,10
PyTorch CPU,Kaggle,banana,300,1200,float64,0.3832097714997872,0.013463019477310793,0.2590571564000584,3.007999112014659e-07,631.328125,10
PyTorch CPU,Kaggle,banana,625,2500,float32,0.8305621281002005,0.014731798199485295,0.5907363301000259,2.4420000954705756e-07,1093.900390625,10
PyTorch CPU,Kaggle,banana,625,2500,float64,1.71185245390011,0.014293681043243602,1.2686922055000196,2.530999609007267e-07,1954.81640625,10
PyTorch CPU,Kaggle,banana,1250,5000,float32,3.4839791267000235,0.021838066576948346,2.628788079100059,2.440001026116079e-07,3671.23828125,10
PyTorch CPU,Kaggle,banana,1250,5000,float64,6.780573855599823,0.08022717631028059,5.085879004000072,2.2599992917093913e-07,7109.48828125,10
PyTorch CPU,Kaggle,apple,300,1200,float32,0.26144420029986576,0.006173436398843919,0.17271611270002718,2.41899988395744e-07,485.900390625,10
PyTorch CPU,Kaggle,apple,300,1200,float64,0.47779265320004927,0.012269437631979078,0.3284858303999954,3.265000941610197e-07,740.255859375,10
PyTorch CPU,Kaggle,apple,625,2500,float32,1.0513680721999208,0.016841846994530757,0.7577765967999767,2.2790009097661822e-07,1331.689453125,10
PyTorch CPU,Kaggle,apple,625,2500,float64,2.1171332270998846,0.018676174814985513,1.5582562328999756,2.691000190679915e-07,2431.359375,10
PyTorch CPU,Kaggle,apple,1250,5000,float32,4.2688785178000215,0.02345105668844981,3.198433277000004,2.4540004233131186e-07,4624.82421875,10
PyTorch CPU,Kaggle,apple,1250,5000,float64,8.285286103500221,0.040133085201548305,6.168414041100005,2.82800192508148e-07,9017.91015625,10
PyTorch CPU,Kaggle,vase,300,1200,float32,0.2607374466997953,0.0035347987524702224,0.17180742489999828,2.6029988475784194e-07,487.3671875,10
PyTorch CPU,Kaggle,vase,300,1200,float64,0.4832601718998831,0.011751131235962334,0.330723091200025,3.422000190766994e-07,742.1328125,10
PyTorch CPU,Kaggle,vase,625,2500,float32,1.0453368320000664,0.015066339282728798,0.7426307400000042,2.441000106045976e-07,1333.025390625,10
PyTorch CPU,Kaggle,vase,625,2500,float64,2.122665091199997,0.01716298218983242,1.565566079600012,2.439999207126675e-07,2432.751953125,10
PyTorch CPU,Kaggle,vase,1250,5000,float32,4.3078185176995705,0.02351273599685812,3.2324986859000093,2.4820001272019e-07,4626.140625,10
