platform,label,dtype,n2,backend,device,Total_Time_mean,Total_Time_std,Curves_Time_mean,Curves_Time_std,Tangents_Time_mean,Tangents_Time_std,Surface_Time_mean,Surface_Time_std,Speedup_vs_Python_CPU
Kaggle,apple,float64,2500,TensorV,GPU,0.058780231,0.001729585,0.043443303,0.000989965,0.008613952,0.001802014,0.002110714,2.72e-05,62.921749899213566
Kaggle,apple,float64,5000,Numba,CPU,4.931315902,0.173943841,0.003581111,0.000777783,0.00619428,0.000291685,4.880302412,0.173347286,1.8980769524831793
Kaggle,apple,float64,5000,Numba,GPU,0.12717901,0.01920547,0.002419024,0.000136207,0.004842324,0.000367137,0.064873432,0.002536519,73.59718446463768
Kaggle,apple,float64,5000,Python,CPU,9.360017059,0.192227043,0.840358558,0.014941957,2.545275848,0.047459926,5.932485734,0.148688001,1.0
Kaggle,apple,float64,5000,TensorV,CPU,12.87020326,7.036068304,0.02678227,0.001731279,0.009484046,0.002164106,9.558230562,5.378656646,0.7272625668695151
Kaggle,apple,float64,5000,TensorV,GPU,0.091540456,0.001405274,0.043294328,0.000668398,0.012848825,0.001317595,0.015016392,0.000432799,102.25005935080769
Kaggle,banana,float32,1200,Numba,CPU,0.354426296,0.011218351,0.002321521,0.000568991,0.001894024,0.000393629,0.340608797,0.010266242,4.261595984966082
Kaggle,banana,float32,1200,Numba,GPU,0.019893759,0.002147006,0.001733628,9.88e-05,0.00136576,0.000169684,0.003234274,0.000409414,75.92439819945542
Kaggle,banana,float32,1200,Python,CPU,1.51042168,0.024984784,0.38956493,0.011945376,0.546190922,0.011591796,0.564095036,0.010703771,1.0
Kaggle,banana,float32,1200,TensorV,CPU,0.235892043,0.007299538,0.018778838,0.003081694,0.003781768,0.00034062,0.151857394,0.002619217,6.403020893756896
Kaggle,banana,float32,1200,TensorV,GPU,0.05139106,0.008382907,0.033125904,0.0007163,0.006250806,0.005714157,0.002340272,0.000241972,29.390747729274313
Kaggle,banana,float32,2500,Numba,CPU,0.960410219,0.012122888,0.002193239,0.000145611,0.003420876,0.000458693,0.938160283,0.012100714,3.6732396107501226
Kaggle,banana,float32,2500,Numba,GPU,0.043258624,0.009007495,0.001931666,0.000106653,0.002557505,0.000140994,0.013533745,6.37e-05,81.5517585348993
Kaggle,banana,float32,2500,Python,CPU,3.527816859,0.043411286,0.788363283,0.014518751,1.12556781,0.025435271,1.5958063,0.019493349,1.0
Kaggle,banana,float32,2500,TensorV,CPU,0.922306871,0.018181489,0.019553181,0.002545274,0.005661488,0.000725639,0.652491491,0.011830302,3.824992494282307
Kaggle,banana,float32,2500,TensorV,GPU,0.051671064,0.002850047,0.034037536,0.001198313,0.004536773,0.00027494,0.002436508,0.000365314,68.27451548123723
Kaggle,banana,float32,5000,Numba,CPU,2.917231836,0.055110556,0.002537226,0.000299741,0.007396848,0.0025579,2.875550463,0.055947861,2.928866431718182
Kaggle,banana,float32,5000,Numba,GPU,0.10707016,0.013820348,0.002011131,9.49e-05,0.004909125,0.000144171,0.056068321,0.001877916,79.79984710959619
Kaggle,banana,float32,5000,Python,CPU,8.544182398,0.119591027,1.552496057,0.033218316,2.248821585,0.065176367,4.710326694,0.046544429,1.0
Kaggle,banana,float32,5000,TensorV,CPU,4.194806351,0.238818058,0.021689709,0.001922122,0.006955203,0.000883188,3.175966571,0.171838562,2.036847874029549
Kaggle,banana,float32,5000,TensorV,GPU,0.076383709,0.000590242,0.033336665,0.00030838,0.007630755,0.00049401,0.013981303,2.8e-05,111.85870010580399
Kaggle,banana,float64,1200,Numba,CPU,0.403145627,0.010633476,0.002174002,0.00016953,0.001834129,0.000199922,0.38992766,0.010179871,3.1284971447798937
Kaggle,banana,float64,1200,Numba,GPU,0.01867049,0.001794932,0.001600404,0.000109441,0.00129567,9.07e-05,0.003041663,9.08e-05,67.55258930001301
Kaggle,banana,float64,1200,Python,CPU,1.261239943,0.018401288,0.159034399,0.004922251,0.493297457,0.015176954,0.599232387,0.014604855,1.0
Kaggle,banana,float64,1200,TensorV,CPU,0.456527523,0.117924853,0.024274351,0.020669931,0.012312836,0.026184899,0.286326366,0.0104166,2.7626810640286417
Kaggle,banana,float64,1200,TensorV,GPU,0.195451906,0.463909861,0.075557864,0.134915356,0.014086508,0.030638591,0.004739043,0.008031653,6.4529426640638645
Kaggle,banana,float64,2500,Numba,CPU,1.189907044,0.085429019,0.00251838,0.000363267,0.003320303,0.000241296,1.166805696,0.085356239,2.546276741765385
Kaggle,banana,float64,2500,Numba,GPU,0.041041721,0.008288939,0.001749327,0.000148384,0.002730869,0.000393867,0.012711491,0.000182709,73.8232354096457
Kaggle,banana,float64,2500,Python,CPU,3.029832631,0.064189302,0.327912111,0.0066277,1.004190802,0.02299057,1.680580362,0.052434725,1.0
Kaggle,banana,float64,2500,TensorV,CPU,1.94961844,0.060979042,0.018903624,0.000693933,0.005728008,0.000410983,1.442413657,0.028456497,1.5540644101622265
Kaggle,banana,float64,2500,TensorV,GPU,0.051036745,0.001217869,0.034578829,0.001004039,0.005028802,0.000169472,0.002217504,0.000100676,59.365710548351
Kaggle,banana,float64,5000,Numba,CPU,3.739886689,0.245422706,0.002597478,0.000180141,0.006207111,0.000165665,3.699597362,0.245747014,2.0679003708178927
Kaggle,banana,float64,5000,Numba,GPU,0.104408592,0.016875525,0.001856408,0.000193848,0.004754649,0.000143834,0.052641425,0.002022491,74.07161539923841
Kaggle,banana,float64,5000,Python,CPU,7.733713071,0.169860906,0.651414534,0.010064625,2.02911661,0.035588107,5.019725246,0.166108794,1.0
Kaggle,banana,float64,5000,TensorV,CPU,7.749280628,0.367921282,0.021442569,0.002921405,0.007768019,0.000297799,5.796765439,0.187543504,0.9979910964969122
Kaggle,banana,float64,5000,TensorV,GPU,0.08106395,0.010796549,0.034377892,0.001109316,0.010555464,0.002084851,0.012893063,0.003699831,95.40261819218038
Kaggle,vase,float32,1200,Numba,CPU,0.43357868,0.009367577,0.002768612,0.000404446,0.001871326,0.00023578,0.416655082,0.009247161,4.440367286970845
Kaggle,vase,float32,1200,Numba,GPU,0.02339171,0.002362618,0.002159354,0.000138401,0.001344353,0.000114554,0.003815567,3.3e-05,82.30473902933988
Kaggle,vase,float32,1200,Python,CPU,1.925248587,0.036344446,0.503847913,0.017738706,0.701246968,0.02428348,0.707160858,0.013512604,1.0
Kaggle,vase,float32,1200,TensorV,CPU,0.293460382,0.003157605,0.022723263,0.000694037,0.003862605,0.000162271,0.19154321,0.002482047,6.560505966355621
Kaggle,vase,float32,1200,TensorV,GPU,0.062642884,0.004735837,0.045269291,0.004093522,0.004558406,0.00030834,0.00234369,0.00011434,30.73371569227241
